Data;Descrição;Valor
01/07/2026;ALUGUEL APARTAMENTO CENTRO;-1.850,00
03/07/2026;PIX ENVIADO CONDOMINIO EDIFICIO AURORA;-420,00
06/07/2026;CREDITO SALARIO MENSAL;6.480,00
07/07/2026;COMPRA DEBITO SUPERMERCADO CANTO VERDE;-295,40
08/07/2026;PAGAMENTO FATURA CARTAO NEON;-1.050,90
09/07/2026;NETFLIX ASSINATURA MENSAL;-44,90
10/07/2026;CONTA DE LUZ ENERGIA SUL;-176,84
13/07/2026;INTERNET FIBRA LINK MAX;-129,90
15/07/2026;COMPRA DEBITO FARMACIA ALVORADA;-73,90
17/07/2026;TELEFONE PLANO CELULAR;-69,90
20/07/2026;COMPRA DEBITO POSTO TRILHA NOVA;-204,60
23/07/2026;UBER VIAGENS;-58,20
27/07/2026;COMPRA DEBITO MERCADO BOM SABOR;-198,35
29/07/2026;CONTA DE AGUA SANEAMENTO REGIONAL;-71,20
31/07/2026;PIX ENVIADO ACADEMIA PASSO FIRME;-119,00
03/08/2026;ALUGUEL APARTAMENTO CENTRO;-1.850,00
05/08/2026;CREDITO SALARIO MENSAL;6.480,00
05/08/2026;PIX ENVIADO CONDOMINIO EDIFICIO AURORA;-420,00
06/08/2026;COMPRA DEBITO SUPERMERCADO CANTO VERDE;-318,47
07/08/2026;NETFLIX ASSINATURA MENSAL;-44,90
08/08/2026;COMPRA DEBITO POSTO TRILHA NOVA;-212,30
10/08/2026;PAGAMENTO FATURA CARTAO NEON;-1.742,58
11/08/2026;COMPRA DEBITO FARMACIA ALVORADA;-86,40
12/08/2026;PIX ENVIADO PADARIA AURORA;-38,75
13/08/2026;CONTA DE LUZ ENERGIA SUL;-189,62
14/08/2026;INTERNET FIBRA LINK MAX;-129,90
15/08/2026;COMPRA DEBITO RESTAURANTE VENTO SUL;-96,20
17/08/2026;TARIFA PACOTE DE SERVICOS;-19,90
18/08/2026;COMPRA DEBITO MERCADO BOM SABOR;-164,85
19/08/2026;PIX ENVIADO ACADEMIA PASSO FIRME;-119,00
20/08/2026;TELEFONE PLANO CELULAR;-69,90
21/08/2026;COMPRA DEBITO LANCHONETE MARE ALTA;-52,40
24/08/2026;UBER VIAGENS;-87,30
25/08/2026;PIX RECEBIDO REEMBOLSO VIAGEM;230,00
26/08/2026;COMPRA DEBITO SUPERMERCADO CANTO VERDE;-276,12
28/08/2026;SPOTIFY ASSINATURA;-21,90
31/08/2026;CONTA DE AGUA SANEAMENTO REGIONAL;-74,35
02/09/2026;ALUGUEL APARTAMENTO CENTRO;-1.850,00
03/09/2026;COMPRA DEBITO SUPERMERCADO CANTO VERDE;-341,08
04/09/2026;PIX ENVIADO CONDOMINIO EDIFICIO AURORA;-420,00
05/09/2026;CREDITO SALARIO MENSAL;6.480,00
06/09/2026;NETFLIX ASSINATURA MENSAL;-44,90
07/09/2026;COMPRA DEBITO POSTO TRILHA NOVA;-198,70
08/09/2026;PAGAMENTO FATURA CARTAO NEON;-1.936,44
09/09/2026;COMPRA DEBITO FARMACIA ALVORADA;-112,80
10/09/2026;CONTA DE LUZ ENERGIA SUL;-204,17
11/09/2026;INTERNET FIBRA LINK MAX;-129,90
11/09/2026;COMPRA DEBITO PADARIA AURORA;-43,60
12/09/2026;UBER VIAGENS;-64,50
13/09/2026;COMPRA DEBITO RESTAURANTE VENTO SUL;-128,90
14/09/2026;TELEFONE PLANO CELULAR;-69,90
15/09/2026;PIX ENVIADO ACADEMIA PASSO FIRME;-119,00
16/09/2026;COMPRA DEBITO MERCADO BOM SABOR;-187,25
17/09/2026;SPOTIFY ASSINATURA;-21,90
17/09/2026;PIX RECEBIDO VENDA BICICLETA USADA;450,00
