Data;Estabelecimento;Valor
30/05/2026;MERCADO BOM SABOR;268,30
02/06/2026;POSTO TRILHA NOVA;176,90
05/06/2026;IFOOD PEDIDO;64,80
10/06/2026;AMAZON COMPRA ONLINE;158,20
15/06/2026;RESTAURANTE VENTO SUL;121,40
19/06/2026;FARMACIA ALVORADA;88,60
23/06/2026;UBER VIAGENS;54,30
26/06/2026;SPOTIFY ASSINATURA;21,90
28/06/2026;LIVRARIA PONTO FINAL;96,50
30/06/2026;IFOOD PEDIDO;58,90
02/07/2026;POSTO TRILHA NOVA;189,40
05/07/2026;LOJA ROUPA ATLAS;249,90
09/07/2026;MERCADO BOM SABOR;312,75
14/07/2026;FARMACIA ALVORADA;97,30
18/07/2026;AMAZON COMPRA ONLINE;176,50
21/07/2026;RESTAURANTE VENTO SUL;143,20
24/07/2026;UBER VIAGENS;72,40
26/07/2026;ELETRO CASA NOVA PARCELA 1/3;336,33
27/07/2026;SPOTIFY ASSINATURA;21,90
28/07/2026;CINEMA ESTRELA AZUL;84,00
30/07/2026;MERCADO BOM SABOR;284,60
01/08/2026;IFOOD PEDIDO;72,45
03/08/2026;POSTO TRILHA NOVA;205,80
06/08/2026;ELETRO CASA NOVA PARCELA 2/3;336,33
09/08/2026;LIVRARIA PONTO FINAL;118,90
12/08/2026;FARMACIA ALVORADA;64,20
15/08/2026;RESTAURANTE VENTO SUL;167,50
18/08/2026;AMAZON COMPRA ONLINE;213,40
21/08/2026;UBER VIAGENS;58,70
24/08/2026;SUPERMERCADO CANTO VERDE;298,66
27/08/2026;SPOTIFY ASSINATURA;21,90
28/08/2026;CINEMA ESTRELA AZUL;94,00
30/08/2026;MERCADO BOM SABOR;246,90
02/09/2026;IFOOD PEDIDO;89,30
04/09/2026;ELETRO CASA NOVA PARCELA 3/3;336,33
07/09/2026;POSTO TRILHA NOVA;187,20
09/09/2026;LOJA ROUPA ATLAS;179,90
11/09/2026;AMAZON COMPRA ONLINE;142,60
13/09/2026;RESTAURANTE VENTO SUL;134,80
15/09/2026;FARMACIA ALVORADA;71,45
16/09/2026;UBER VIAGENS;46,20
17/09/2026;SUPERMERCADO CANTO VERDE;263,15
